Kod,Şirket Ünvanı,Şehir,Bağımsız Denetim Kuruluşu
"ICB, ICBCT",ICBC TURKEY BANK A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ICUGS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İZMİR,BİRLEŞİM NEKS BAĞIMSIZ DENETİM A.Ş.
INGRM,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
INVEO,INVEO YATIRIM HOLDİNG A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
"IAZ, INVAZ",INVEST-AZ YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,
INVES,INVESTCO HOLDİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISKPL,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,İSTANBUL,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
IDGYO,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
IHEVA,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHLGM,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHGZT,İHLAS GAZETECİLİK A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHAAS,İHLAS HABER AJANSI A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHLAS,İHLAS HOLDİNG A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IHYAY,İHLAS YAYIN HOLDİNG A.Ş.,İSTANBUL,KAİZEN BAĞIMSIZ DENETİM A.Ş.
IMASM,İMAŞ MAKİNA SANAYİ A.Ş.,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
INALR,İNALLAR OTOMOTİV SANAYİ VE TİCARET A.Ş.,BURSA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
INDES,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
"INFO, IYF",İNFO YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
INTEK,İNNOSA TEKNOLOJİ A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
INTEM,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISDMR,İSKENDERUN DEMİR VE ÇELİK A.Ş.,HATAY,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ISTFK,İSTANBUL FAKTORİNG A.Ş.,İSTANBUL,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ISFAK,İŞ FAKTORİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISFIN,İŞ FİNANSAL KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISGYO,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISGSY,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"ISMEN, IYM",İŞ YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISYAT,İŞ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ISBIR,İŞBİR HOLDİNG A.Ş.,ANKARA,EREN BAĞIMSIZ DENETİM A.Ş.
ISSEN,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,BALIKESİR,EREN BAĞIMSIZ DENETİM A.Ş.
IZINV,İZ YATIRIM HOLDİNG A.Ş.,İSTANBUL,SGD BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
IZENR,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,İZMİR,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
IZMDC,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,İZMİR,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
IZFAS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,İZMİR,GÖRÜŞ BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
JANTS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,AYDIN,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KFEIN,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLKIM,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLSER,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLVKS,KALKINMA YATIRIM VARLIK KİRALAMA A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"KAPTESTAS001, TRAKAPTEST01",KAP TEST A.Ş.,ANKARA,KAP TEST BAĞIMSIZ DENETİM A.Ş.
KAPLM,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR,RSM TURKEY ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
"KRDMA, KRDMB, KRDMD",KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,KARABÜK,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KARSN,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,BURSA,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KRTEK,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,KAYSERİ,YKY BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KARYE,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
KARTN,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,İSTANBUL,MGI BAĞIMSIZ DENETİM A.Ş.
KATVK,KATILIM VARLIK KİRALAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KTLEV,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,İSTANBUL,AKSİS ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
KATMR,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,İZMİR,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
KAYSE,KAYSERİ ŞEKER FABRİKASI A.Ş.,KAYSERİ,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KNTFA,KENT FİNANS FAKTORİNG A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
KENT,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,KOCAELİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KRVGD,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KERVN,KERVANSARAY YATIRIM HOLDİNG A.Ş.,İSTANBUL,MEGA GLOBAL ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
TCKRC,KIRAÇ GALVANİZ TELEKOMİNİKASYON METAL MAKİNE İNŞAAT ELEKTRİK SANAYİ VE TİCARET A.Ş.,BURSA,SER-BERKER BAĞIMSIZ DENETİM A.Ş.
KZBGY,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,ARSEN BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KLGYO,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
KLRHO,KİLER HOLDİNG A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
KMPUR,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KLMSN,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,MANİSA,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KCAER,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,DENİZLİ,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KFKTF,KOÇ FIAT KREDİ FİNANSMAN A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOCFN,KOÇ FİNANSMAN A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KCHOL,KOÇ HOLDİNG A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOCMT,KOÇ METALURJİ A.Ş.,HATAY,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
KLSYN,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KNFRT,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KONYA,KONYA ÇİMENTO SANAYİİ A.Ş.,KONYA,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KONKA,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,KONYA,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
KORDS,KORDSA TEKNİK TEKSTİL A.Ş.,KOCAELİ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KRPLS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KORTS,KORTEKS MENSUCAT SANAYİ VE TİCARET A.Ş.,BURSA,ARILAR BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KOTON,KOTON MAĞAZACILIK TEKSTİL SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,ANKARA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOPOL,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,GAZİANTEP,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
KRGYO,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,İSTANBUL,YORUM BAĞIMSIZ DENETİM A.Ş.
KRONT,KRON TEKNOLOJİ A.Ş.,İSTANBUL,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KTKVK,KT KİRA SERTİFİKALARI VARLIK KİRALAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KTSVK,KT SUKUK VARLIK KİRALAMA A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.,AYDIN,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KUVVA,KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.,İSTANBUL,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KUYAS,KUYAŞ YATIRIM A.Ş.,İSTANBUL,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
KBORU,KUZEY BORU A.Ş.,AKSARAY,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
KZGYO,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
KUTPO,KÜTAHYA PORSELEN SANAYİ A.Ş.,KÜTAHYA,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,KÜTAHYA,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
LIDER,LDR TURİZM A.Ş.,İSTANBUL,EDİT BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
LVTVK,LEVENT VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
LIDFA,LİDER FAKTORİNG A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
LILAK,LİLA KAĞIT SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
LMKDC,LİMAK DOĞU ANADOLU ÇİMENTO SANAYİ VE TİCARET A.Ş.,ŞANLIURFA,EREN BAĞIMSIZ DENETİM A.Ş.
LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,İSTANBUL,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,KOCAELİ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,ANKARA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
LRSHO,LORAS HOLDİNG A.Ş.,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
LUKSK,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,KAYSERİ,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
LYDHO,LYDİA HOLDİNG A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
LYDYE,LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MACKO,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.,İSTANBUL,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MAKIM,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,ANKARA,VEZİN BAĞIMSIZ DENETİM A.Ş.
MAKTK,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,ANKARA,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
"MRBAS, MRS",MARBAŞ MENKUL DEĞERLER A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,ANKARA,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MRMAG,MARKA MAĞAZACILIK A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.
MARKA,MARKA YATIRIM HOLDİNG A.Ş.,İSTANBUL,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,ANTALYA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MRSHL,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,KOCAELİ,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MRGYO,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,YORUM BAĞIMSIZ DENETİM A.Ş.
MARTI,MARTI OTEL İŞLETMELERİ A.Ş.,İSTANBUL,TİTANYUM BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
MTRKS,MATRİKS FİNANSAL TEKNOLOJİLER A.Ş.,İSTANBUL,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MAVI,MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MZHLD,MAZHAR ZORLU HOLDİNG A.Ş.,İZMİR,EREN BAĞIMSIZ DENETİM A.Ş.
MEDTR,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.,İZMİR,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.
MEGMT,MEGA METAL SANAYİ VE TİCARET A.Ş.,İSTANBUL,MİTRA BAĞIMSIZ DENETİM A.Ş.
MEGAP,MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,İSTANBUL,AG YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
MEKAG,MEKA GLOBAL MAKİNE İMALAT SANAYİ VE TİCARET A.Ş.,ANKARA,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
"MEKMD, MSA",MEKSA YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MNDRS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,İZMİR,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
MEPET,MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,DENİZLİ,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
MRBKF,MERCEDES BENZ KAMYON FİNANSMAN A.Ş.,İSTANBUL,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MBFTR,MERCEDES-BENZ FİNANSMAN TÜRK A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MERIT,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
METUR,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,İSTANBUL,VENTERA BAĞIMSIZ DENETİM A.Ş.
METRO,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MTRYO,METRO YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MHRGY,MHR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
MIATK,MİA TEKNOLOJİ A.Ş.,ANKARA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MGROS,MİGROS TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MSGYO,MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,SUN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MPARK,MLP SAĞLIK HİZMETLERİ A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MMCAS,MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.,İSTANBUL,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MOBTL,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MOGAN,MOGAN ENERJİ YATIRIM HOLDİNG A.Ş.,ANKARA,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MNDTR,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,İZMİR,REANDA AREN BAĞIMSIZ DENETİM VE SMMM A.Ş.
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,İZMİR,LİSANS BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
NATEN,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,ANKARA,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NTGAZ,NATURELGAZ SANAYİ VE TİCARET A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
NTHOL,NET HOLDİNG A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
NETAS,NETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NIBAS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,NİĞDE,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
NUHCM,NUH ÇİMENTO SANAYİ A.Ş.,KOCAELİ,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NUGYO,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
